UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/12/2023","100-Concert Band","1","Hereford JH","059901042","Hereford","Jonathan Cantu","Christy Henson  Clint Larsson  Sean Rowell  Aaron Rhynes","","CC","Varsity","","186066","The Red Cape","James Meredith","Looking Up! ","Sheldon","Tanchozuru (20595) ","Standridge","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","C"
"04/12/2023","100-Concert Band","1","Hereford Jr. High","059901042","Hereford","Clint Larsson","Jonathan Cantu  Christy Henson  Aaron Rhynes  Sean Rowell","","CC","Non-Varsity","","186417","Mountainbrook March","Douglas Akey","Arctic Wars ","Balmages","Odyssey (18464) ","Branchfield","Greg Montgomery","Mike Glaze","Jason Jones","2","2","2","2","Sam Labordus","Mike Lunney","Suzanne Rhynes","2","1","1","1","2"
"03/07/2023","100-Concert Band","1","Highland Park High School","188-903","AMARILLO","James Capes","","","AA","Varsity","","182806","Pinnacle ","Grice","The Rowan Tree (17517)","Standridge","Spirit of Liberty (Concert March)","Owens","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","A"
"04/12/2023","100-Concert Band","1","Highland Park Middle School","188-903","AMARILLO","James Capes","","","C","Varsity","","189920","Night Fury (20593) ","Chambers","As Twilight Falls (17497) ","Sheldon","Spitfire (Concert March)","Story","Greg Montgomery","Mike Glaze","Jason Jones","3","3","3","3","Sam Labordus","Mike Lunney","Suzanne Rhynes","2","2","2","2",""
"04/12/2023","100-Concert Band","1","Horace Mann Middle School","188-901-046","Amarillo","Terry Baker","Ismael Alfaro  Spencer Crawford","","CC","Varsity","","189702","The Band In the Square","La Plante","Ghost Ship (18462) ","Story","Japanese Pictures (18467) ","Mixon","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","C"
"04/12/2023","100-Concert Band","1","Houston MS","188-901","Amarillo","Suzanne Pecht","David Spence and Chase Cunningham","","CC","Varsity","","189998","Andalucia","Lopez","Mystery Ride (18192) ","White","Danza de Espana (19602) ","Chambers","Greg Montgomery","Mike Glaze","Jason Jones","1","2","2","2","Sam Labordus","Mike Lunney","Suzanne Rhynes","2","3","1","2",""
"03/07/2023","100-Concert Band","1","Memphis High School","096.904","Memphis","Troy Riggs","","","AA","Varsity","","184204","Wolseys Wilde","McGinty","The Spacious Firmament On High","Sharp","Strength and Honor","O'Loughlin","Michael Childs","Harold Bufe","Carroll Rhodes","3","3","2","3","Rodney Bennett","Cliff Franklin","Jon Kraemer","3","3","3","3",""
"04/05/2023","100-Concert Band","1","Palo Duro High School ","188091004","Amarillo","Ismael Alfaro","Spencer Crawford  Terry Baker  Maritza Mendoza  Isaac Gutierrez","","AAAAA","Non-Varsity","","185150","Darklands March","Randall D. Standridge","Sparks ","Brian Balmages","Expectations ","Larry Clark","Robert Rubio","Nicole Baxter","Jon Seale","2","2","1","2","Rodney Gurley","Mike Glaze","James Nance","2","1","2","2",""
"04/05/2023","100-Concert Band","1","Palo Duro High School ","188901004","Amarillo","Ismael Alfaro","Spencer Crawford  Terry Baker  Maritza Mendoza  Isaac Gutierrez","","AAAAA","Varsity","","185148","Washington Grays March","C.S. Grafulla/Harold R. Gore","Sheltering Sky","John Mackey","Vesuvius ","Frank Ticheli","Robert Rubio","Nicole Baxter","Jon Seale","1","2","1","1","Rodney Gurley","Mike Glaze","James Nance","2","2","2","2","1"
"03/07/2023","100-Concert Band","1","Pampa High School","090904","Pampa","Katie Sedlacek","Andrew Sedlacek  Daniel Stout  Heather Shackelford","","AAAA","Non-Varsity","","182902","Storm Mountain Jubilee (16225) ","Strommen","As Twilight Falls (17497) ","Sheldon","Mystery Bay March","Steve Hodges","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","C"
